id,web_name,first_name,second_name,squad_number,element_type,team,status,news,news_added,cost,cost_change_start,cost_change_start_fall,dreamteam_count,selected_by_percent,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
526,Zouma,Kurt,Zouma,5,2,8,a,,2019-03-11T20:31:20Z,5,0,0,2,1,112,3.5,2613,2,2,10,39,0,0,0,3,1,0,12,543,565.2,83.7,235,88.8
528,Dowell,Kieran,Dowell,28,3,8,u,Season-long loan to Sheffield United,2019-01-01T13:01:17Z,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,Browning,Tyias,Browning,35,2,8,u,Joined Guangzhou Evergrande,2019-02-20T14:01:21Z,4,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Chambers,Calum,Chambers,5,2,9,a,,2018-12-29T15:31:17Z,4.2,-3,3,0,1.1,60,1.9,2586,2,0,5,52,0,0,0,9,0,0,0,431,609,231.9,401,124.5
178,Bettinelli,Marcus,Bettinelli,1,1,9,i,Knee injury - Unknown return date,2019-02-04T15:01:20Z,4.2,-3,3,0,0.3,15,2.1,630,0,0,0,20,0,1,0,1,0,20,0,114,195,0,0,19.4
180,Ream,Tim,Ream,13,2,9,a,,2018-08-10T15:01:13Z,4.2,-3,3,2,0.3,50,1.9,2046,0,0,5,49,0,0,0,1,0,0,4,349,331.6,46.3,3,38.3
181,Odoi,Denis,Odoi,4,2,9,a,,2019-04-27T16:31:22Z,4.4,-1,1,0,0.1,44,1.4,2593,0,1,3,62,1,0,0,4,0,0,2,427,575.2,164.2,93,83.5
182,Cairney,Tom,Cairney,10,3,9,a,,2018-10-27T14:01:14Z,4.6,-4,4,0,0.5,71,2.3,2188,1,1,5,51,0,0,0,0,0,0,3,389,358,586.7,199,114.5
183,McDonald,Kevin,McDonald,6,3,9,a,,2018-11-05T23:01:15Z,4.2,-3,3,0,0.2,17,1.1,837,0,0,0,27,0,0,0,4,1,0,0,123,99.6,71.9,15,18.7
184,Sessegnon,Ryan,Sessegnon,3,3,9,a,,2018-12-15T19:31:16Z,6,-5,5,0,1.9,94,2.7,2291,2,7,3,60,0,0,0,0,0,0,3,295,410.4,468.3,438,132
185,Johansen,Stefan,Johansen,8,3,9,u,Season-long loan to West Bromwich Albion,2019-02-01T00:01:20Z,5,-5,5,0,0,11,0.9,409,0,0,0,12,0,0,0,4,0,0,0,48,48.8,33,7,9
186,Ayite,Floyd,Ayite,11,3,9,a,,2019-04-11T14:31:22Z,4.2,-3,3,0,0.1,24,1.5,466,1,0,0,13,0,0,0,0,0,0,0,91,90,117.5,74,28
187,Kebano,Neeskens,Kebano,7,3,9,a,,2019-01-06T17:01:16Z,4.3,-2,2,0,0,7,1,101,0,0,0,3,0,0,0,0,0,0,0,24,17.6,8.3,8,3.4
188,Fonte,Rui Pedro,da Rocha Fonte,17,3,9,u,Season-long loan to Lille,2018-09-02T07:31:14Z,4.4,-1,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Kamara,Aboubakar,Kamara,47,4,9,u,Season-long loan to Yeni Malatyaspor,2019-01-28T17:31:21Z,4.5,0,0,0,5.1,28,2.2,688,3,0,1,17,0,0,1,2,0,0,2,82,150,149.5,244,53.1
455,Le Marchand,Maxime,Le Marchand,20,2,9,a,,2018-12-22T14:01:17Z,4.2,-3,3,0,0.2,38,1.5,2250,0,1,3,53,0,0,0,5,0,0,1,409,577.8,131.7,99,81.2
456,Seri,Jean Michael,Seri,24,3,9,a,,,4.9,-6,6,1,1.3,72,2.3,2239,1,3,3,54,0,0,0,6,0,0,6,422,460.2,849.4,164,147.5
460,Christie,Cyrus,Christie,22,2,9,a,,2019-02-02T17:01:21Z,4.2,-3,3,1,0.2,42,1.5,1941,0,1,3,42,0,0,0,7,0,0,2,278,423.2,293.1,107,82.2
474,Fabri,Fabricio,Agosto Ramírez,31,1,9,a,,,4.2,-3,3,0,0.2,8,4,180,0,0,0,5,0,0,0,0,0,15,2,47,115.2,0,0,11.5
478,Schurrle,Andre,Schurrle,14,3,9,a,,2019-04-25T14:01:21Z,5.5,-5,5,1,2.1,75,3.1,1638,6,0,2,43,0,0,0,2,0,0,2,260,361.8,310.6,474,114
480,Mitrovic,Aleksandar,Mitrovic,9,4,9,a,,2019-03-30T14:31:22Z,6.3,-2,2,3,10.8,134,3.6,3280,11,4,5,78,0,0,0,7,0,0,12,350,638.8,499.5,1593,273.4
